timestamp,user_id,query_info,query_type,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,op_DELETE,op_INSERT,op_UPDATE,frekuensi_aktivitas_per_user,jumlah_tipe_operasi_unik,rasio_operasi_modifikasi,pola_waktu_akses
2025-01-02 10:46:35,10.0,192.168.1.7 delete from diagnosa_pasien where no_rawat=? and kd_penyakit=? |2024/12/31/000054|I50.0,DELETE,10,3,1,2,0,0,0,True,False,False,228,3,1.0,2.49256952798578
2025-01-02 15:28:09,8.0,192.168.1.35 update reg_periksa set stts='Berkas Diterima' where no_rawat='2025/01/02/000051',UPDATE,15,3,1,2,0,0,0,False,False,True,252,3,1.0,1.3310250841422273
2025-01-02 15:11:11,7.0,192.168.1.6 insert into resep_dokter values(|202501020020|000228|30.0|1 X 1 (PAGI) SESUDAH MAKAN),INSERT,15,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 14:36:37,7.0,192.168.1.6 delete from resep_dokter_racikan where no_resep='202501020007',DELETE,14,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 15:43:14,5.0,"192.168.1.28 insert into antriapotek3 values('202501020029','1','2025/01/02/000038')",INSERT,15,3,1,2,0,0,0,False,True,False,122,2,1.0,1.234715522878037
2025-01-02 15:34:33,7.0,192.168.1.6 insert into resep_dokter values(|202501020031|000315|20.0|BILA PUSING),INSERT,15,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 16:07:05,9.0,192.168.1.31 delete from tagihan_bpd_papua where no_rkm_medis='007964' and no_rawat='2025/01/02/000049' and status_lanjut='Ralan' and status_bayar='Pending',DELETE,16,3,1,2,0,0,0,True,False,False,251,3,1.0,1.482670144358519
2025-01-02 14:19:20,9.0,"192.168.1.31 insert into tampjurnal values('420106','Pendapatan Laborat Rawat Jalan','0','60000.0')",INSERT,14,3,1,2,0,0,0,False,True,False,251,3,1.0,1.482670144358519
2025-01-02 16:13:48,7.0,192.168.1.6 delete from temporary_bayar_ralan where temp9='00007',DELETE,16,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 17:30:03,7.0,192.168.1.6 delete from tampjurnal,DELETE,17,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 16:24:54,7.0,192.168.1.6 delete from temporary_resep where temp37='192.168.1.6',DELETE,16,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 09:28:11,7.0,"192.168.1.6 insert into temporary_bayar_ralan values('17','PPN',':','','','','','0','Tagihan','00007','','','','','','','','')",INSERT,9,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 09:49:16,10.0,192.168.1.7 delete from diagnosa_pasien where no_rawat=? and kd_penyakit=? |2024/12/30/000053|E11.9,DELETE,9,3,1,2,0,0,0,True,False,False,228,3,1.0,2.49256952798578
2025-01-02 16:52:10,8.0,"192.168.1.35 insert into tampjurnal values('211132','Utang Jasa Sarana Tindakan Ralan','0','350000.0')",INSERT,16,3,1,2,0,0,0,False,True,False,252,3,1.0,1.3310250841422273
2025-01-02 09:33:42,7.0,192.168.1.6 insert into temporary_resep values(|0|DILTIAZEM|2 X 1 SESUDAH MAKAN|60|Tablet|||||||||||||||||||||||||||||||||192.168.1.6),INSERT,9,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 09:35:30,7.0,192.168.1.6 insert into temporary_resep values(|2|LANSOPRAZOLE CAPS|1 X 1 (PAGI) 1/2 JAM SEBELUM MAKAN|30|Kapsul|||||||||||||||||||||||||||||||||192.168.1.6),INSERT,9,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 15:21:51,7.0,192.168.1.6 update gudangbarang set stok=stok-'60.0' where kode_brng='000117' and kd_bangsal='AP' and no_batch='' and no_faktur='',UPDATE,15,3,1,2,0,0,0,False,False,True,3143,3,1.0,2.116183659819645
2025-01-02 15:46:35,8.0,192.168.1.35 update resume_pasien set kd_prosedur_utama=? |89.52|2025/01/02/000031 where no_rawat=?,UPDATE,15,3,1,2,0,0,0,False,False,True,252,3,1.0,1.3310250841422273
2025-01-02 09:36:15,7.0,192.168.1.6 insert into temporary_resep values(|5|VITAMIN B COMPLEX|1 X 1 (PAGI) SESUDAH MAKAN|30|Tablet|||||||||||||||||||||||||||||||||192.168.1.6),INSERT,9,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 14:16:44,7.0,192.168.1.6 insert into aturan_pakai values(|2025-01-02|14:16:44|2025/01/02/000004|000206|1 X 1/2 MALAM SESUDAH MAKAN),INSERT,14,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 17:16:04,7.0,192.168.1.6 insert into detail_pemberian_obat values(|2025-01-02|17:16:03|2025/01/02/000054|000349|1355.0|1694.0|31.0|0|0|52514|Ralan|AP||),INSERT,17,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 09:30:18,7.0,"192.168.1.6 insert into tampjurnal values('420108','Pendapatan Obat Rawat Jalan','20820.0','0')",INSERT,9,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 14:17:14,1.0,192.168.1.29 update reg_periksa set stts=? |Sudah|2025/01/02/000006 where no_rawat=?,UPDATE,14,3,1,2,0,0,0,False,False,True,544,3,1.0,1.5917699106279328
2025-01-02 17:04:06,10.0,"192.168.1.7 insert into rujuk values('0055S0010125B000021','2025/01/02/000062','IBUH','2025-01-02','I20 - Angina pectoris','00001','-','-','KONTROL 03-02-2025','12:00:01')",INSERT,17,3,1,2,0,0,0,False,True,False,228,3,1.0,2.49256952798578
2025-01-02 09:30:33,7.0,192.168.1.6 delete from tampjurnal,DELETE,9,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 17:19:07,8.0,192.168.1.35 update resume_pasien set kd_prosedur_utama=? |90.59|2025/01/02/000054 where no_rawat=?,UPDATE,17,3,1,2,0,0,0,False,False,True,252,3,1.0,1.3310250841422273
2025-01-02 15:49:53,1.0,192.168.1.29 insert into resep_dokter values(|202501020040|000144|4.0|1X1/2),INSERT,15,3,1,2,0,0,0,False,True,False,544,3,1.0,1.5917699106279328
2025-01-02 15:09:38,1.0,192.168.1.29 insert into resep_dokter values(|202501020023|000415|15.0|3 X 1 SESUDAH MAKAN),INSERT,15,3,1,2,0,0,0,False,True,False,544,3,1.0,1.5917699106279328
2025-01-02 09:05:51,1.0,192.168.1.8 insert into diagnosa_pasien values(|2024/12/31/000026|I20.8|Ralan|2|Lama),INSERT,9,3,1,2,0,0,0,False,True,False,544,3,1.0,1.5917699106279328
2025-01-02 14:50:41,7.0,192.168.1.6 insert into resep_dokter values(|202501020011|000211|60.0|2 X 1 SESUDAH MAKAN),INSERT,14,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 16:17:01,7.0,"192.168.1.6 insert into temporary_bayar_ralan values('26','PPN',':','','','','','0','Tagihan','00007','','','','','','','','')",INSERT,16,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 14:29:25,7.0,192.168.1.6 delete from tampjurnal,DELETE,14,3,1,2,0,0,0,True,False,False,3143,3,1.0,2.116183659819645
2025-01-02 14:32:48,7.0,192.168.1.6 insert into detail_pemberian_obat values(|2025-01-02|14:32:48|2025/01/02/000013|000315|200.0|250.0|10.0|0|0|2500|Ralan|AP||),INSERT,14,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 15:53:57,7.0,"192.168.1.6 insert into tampjurnal values('115010','Persediaan Obat Rawat Jalan','0','49215.0')",INSERT,15,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 17:32:45,8.0,192.168.1.35 update resume_pasien set kd_diagnosa_sekunder2=? |I11.9|2025/01/02/000069 where no_rawat=?,UPDATE,17,3,1,2,0,0,0,False,False,True,252,3,1.0,1.3310250841422273
2025-01-02 15:54:21,2.0,192.168.1.42 insert into resep_dokter values(|202501020042|000231|30.0|1 X 1 (PAGI) SESUDAH MAKAN),INSERT,15,3,1,2,0,0,0,False,True,False,123,3,1.0,0.9137829794868656
2025-01-02 14:19:31,7.0,192.168.1.6 insert into aturan_pakai values(|2025-01-02|14:19:31|2025/01/02/000006|0001019|2 X 1 SESUDAH MAKAN),INSERT,14,3,1,2,0,0,0,False,True,False,3143,3,1.0,2.116183659819645
2025-01-02 13:48:22,9.0,"192.168.1.31 insert into tracker values('00009',current_date(),current_time())",INSERT,13,3,1,2,0,0,0,False,True,False,251,3,1.0,1.482670144358519
2025-01-02 14:12:55,9.0,192.168.1.31 delete from antripoli where kd_dokter='00001' and kd_poli='U0012',DELETE,14,3,1,2,0,0,0,True,False,False,251,3,1.0,1.482670144358519
2025-01-02 14:40:39,1.0,192.168.1.29 insert into resep_obat values(|202501020011|0000-00-00|00:00:00|2025/01/02/000023|00001|2025-01-02|14:40:45|ralan|0000-00-00|00:00:00),INSERT,14,3,1,2,0,0,0,False,True,False,544,3,1.0,1.5917699106279328
