timestamp,user_id,query_info,query_type,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,op_DELETE,op_INSERT,op_UPDATE,frekuensi_aktivitas_per_user,jumlah_tipe_operasi_unik,rasio_operasi_modifikasi,pola_waktu_akses,lof_score,is_anomaly,timestamp_dt,hour_actual,day_of_week_actual,day_of_month_actual,month_actual,is_outside_work_hours,is_weekend_flag,night_shift_flag,query_text,query_length,query_length_normalized,ip_address,ip_last_octet,user_avg_daily_activity,user_query_diversity,delete_operation_count,modification_ratio,hour_bucket,ip_hits_per_hour,cluster
2025-01-02 09:49:16,10.0,192.168.1.7 delete from diagnosa_pasien where no_rawat=? and kd_penyakit=? |2024/12/30/000053|E11.9,DELETE,-3.0488729517810698,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,2,-1,0,-1.499406356773424,0.1635536660332217,0.0,1.5564595321665646,994319994.465102,1,2025-01-02 09:49:16,9,3,2,1,0,0,0,192.168.1.7 delete from diagnosa_pasien where no_rawat=? and kd_penyakit=? |2024/12/30/000053|E11.9,99,-0.09703308888503824,192.168.1.7,7,45.6,3,46.0,0.0,2025-01-02 09:00:00,8,0
2025-01-02 09:05:51,1.0,192.168.1.8 insert into diagnosa_pasien values(|2024/12/31/000026|I20.8|Ralan|2|Lama),INSERT,-3.0488729517810698,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.2611558989662184,0.1635536660332217,0.0,-0.9732806346825476,8449916923.385681,1,2025-01-02 09:05:51,9,3,2,1,0,0,0,192.168.1.8 insert into diagnosa_pasien values(|2024/12/31/000026|I20.8|Ralan|2|Lama),85,-0.5238823433779126,192.168.1.8,8,108.8,3,10.0,0.0,2025-01-02 09:00:00,2,0
2025-01-02 12:49:28,10.0,"192.168.1.7 insert ignore into kelurahan values(?,?) |0|KELURAHAN",INSERT,-1.5573929615834166,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.499406356773424,0.1635536660332217,0.0,1.5564595321665646,1988639987.930204,1,2025-01-02 12:49:28,12,3,2,1,0,0,0,"192.168.1.7 insert ignore into kelurahan values(?,?) |0|KELURAHAN",65,-1.1336669926534475,192.168.1.7,7,45.6,3,46.0,0.0,2025-01-02 12:00:00,5,0
2025-01-02 14:57:22,5.0,192.168.1.28 delete from antriapotek3,DELETE,-0.5630729681183143,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,2,-1,0,-1.579325814139132,-6.0145541702539385,0.0,-1.976006223187995,1988639987.9302044,1,2025-01-02 14:57:22,14,3,2,1,0,0,0,192.168.1.28 delete from antriapotek3,37,-1.9873655016391965,192.168.1.28,28,24.4,2,88.0,0.0,2025-01-02 14:00:00,6,0
2025-01-02 17:40:24,5.0,"192.168.1.28 insert into antriapotek3 values('202501020059','1','2025/01/02/000067')",INSERT,0.9284070220793392,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.579325814139132,-6.0145541702539385,0.0,-1.976006223187995,5965919961.790613,1,2025-01-02 17:40:24,17,3,2,1,0,0,0,"192.168.1.28 insert into antriapotek3 values('202501020059','1','2025/01/02/000067')",84,-0.5543715758416894,192.168.1.28,28,24.4,2,88.0,0.0,2025-01-02 17:00:00,3,0
2025-01-02 17:14:06,9.0,192.168.1.31 delete from tagihan_bpd_jateng where no_rkm_medis='007737' and no_rawat='2025/01/02/000032' and status_lanjut='Ralan' and status_bayar='Pending',DELETE,0.9284070220793392,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,2,-1,0,-1.482065342439355,0.1635536660332217,0.0,-1.279668487882474,1988639987.9302056,1,2025-01-02 17:14:06,17,3,2,1,0,0,0,192.168.1.31 delete from tagihan_bpd_jateng where no_rkm_medis='007737' and no_rawat='2025/01/02/000032' and status_lanjut='Ralan' and status_bayar='Pending',157,1.671342394014013,192.168.1.31,31,50.2,3,76.0,0.0,2025-01-02 17:00:00,6,0
2025-01-02 16:58:29,10.0,"192.168.1.7 insert into rujuk_masuk values('2025/01/02/000066','dr. H. Junaidi, M.Kes','-','0313U0021024P000836','0','Klinik Jantung & Pembuluh Darah RIDDA','I20','-','-','BR/2025/01/02/0066')",INSERT,0.4312470253467879,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.499406356773424,0.1635536660332217,0.0,1.5564595321665646,2982959981.3953056,1,2025-01-02 16:58:29,16,3,2,1,0,0,0,"192.168.1.7 insert into rujuk_masuk values('2025/01/02/000066','dr. H. Junaidi, M.Kes','-','0313U0021024P000836','0','Klinik Jantung & Pembuluh Darah RIDDA','I20','-','-','BR/2025/01/02/0066')",192,2.738465530246199,192.168.1.7,7,45.6,3,46.0,0.0,2025-01-02 16:00:00,3,0
2025-01-02 17:14:23,9.0,"192.168.1.31 update permintaan_lab set tgl_hasil=?,jam_hasil=? |2025-01-02|17:14:26|PK202501020009 where noorder=?",UPDATE,0.9284070220793392,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,-1,2,-1.482065342439355,0.1635536660332217,0.0,-1.279668487882474,1817543111.436219,1,2025-01-02 17:14:23,17,3,2,1,0,0,0,"192.168.1.31 update permintaan_lab set tgl_hasil=?,jam_hasil=? |2025-01-02|17:14:26|PK202501020009 where noorder=?",114,0.36030539807161294,192.168.1.31,31,50.2,3,76.0,0.0,2025-01-02 17:00:00,6,0
2025-01-02 09:53:10,10.0,192.168.1.7 insert into diagnosa_pasien values(|2024/12/30/000025|I10|Ralan|3|Lama),INSERT,-3.0488729517810698,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.499406356773424,0.1635536660332217,0.0,1.5564595321665646,2982959981.395306,1,2025-01-02 09:53:10,9,3,2,1,0,0,0,192.168.1.7 insert into diagnosa_pasien values(|2024/12/30/000025|I10|Ralan|3|Lama),83,-0.5848608083054662,192.168.1.7,7,45.6,3,46.0,0.0,2025-01-02 09:00:00,8,0
2025-01-02 14:49:55,9.0,"192.168.1.31 update mutasi_berkas set status='Sudah Diterima',diterima=now() where no_rawat='2025/01/02/000021'",UPDATE,-0.5630729681183143,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,-1,2,-1.482065342439355,0.1635536660332217,0.0,-1.279668487882474,3021782243.892515,1,2025-01-02 14:49:55,14,3,2,1,0,0,0,"192.168.1.31 update mutasi_berkas set status='Sudah Diterima',diterima=now() where no_rawat='2025/01/02/000021'",111,0.26883770068028273,192.168.1.31,31,50.2,3,76.0,0.0,2025-01-02 14:00:00,2,0
2025-01-02 14:04:15,8.0,192.168.1.35 insert into periksa_lab values(|2025/01/02/000007|00008|J000109|2025-01-02|14:04:19|00002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|00004|Ralan),INSERT,-0.5630729681183143,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.4813113852943955,0.1635536660332217,0.0,-1.70553745201305,851739264.0635886,1,2025-01-02 14:04:15,14,3,2,1,0,0,0,192.168.1.35 insert into periksa_lab values(|2025/01/02/000007|00008|J000109|2025-01-02|14:04:19|00002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|00004|Ralan),147,1.3664500693762456,192.168.1.35,35,50.4,3,4.0,0.0,2025-01-02 14:00:00,6,0
2025-01-02 16:52:44,2.0,192.168.1.42 insert into resep_dokter values(|202501020051|000231|30.0|1 X 1 (PAGI) SESUDAH MAKAN),INSERT,0.4312470253467879,0.2865465259916639,0.0,-1.2533780447669716,0.0,-0.5881981056534039,0.0,0,0,0,-1.5785718569941725,0.1635536660332217,0.0,-2.877289849669788,1988639987.930204,1,2025-01-02 16:52:44,16,3,2,1,0,0,0,192.168.1.42 insert into resep_dokter values(|202501020051|000231|30.0|1 X 1 (PAGI) SESUDAH MAKAN),98,-0.12752232134881497,192.168.1.42,42,61.5,3,18.0,0.0,2025-01-02 16:00:00,5,0
